,mean,std
Phospholipids in Chylomicrons and Extremely Large VLDL,0.03444301719520591,0.03218902579101866
Phospholipids in HDL,1.5845553558446352,0.3264413954671521
Phospholipids in IDL,0.29968845030773356,0.06574711743580314
Phospholipids in Large HDL,0.33180847526051654,0.15720832968956588
Phospholipids in Large LDL,0.3676248770438037,0.082196972360255
Phospholipids in Large VLDL,0.06833610174104246,0.04180652562120137
Phospholipids in LDL,0.6263656824951396,0.14115245782792063
Phospholipids in Medium HDL,0.4985016562105159,0.10247707994414024
Phospholipids in Medium LDL,0.16765470093174162,0.042665540782111454
Phospholipids in Medium VLDL,0.13345923068695492,0.04870874759080417
Phospholipids in Small HDL,0.6758492050730406,0.09520223530020794
Phospholipids in Small LDL,0.09108610358632042,0.01912701144253735
Phospholipids in Small VLDL,0.10036406665229643,0.030855673702458522
Phospholipids in Very Large HDL,0.07839573214821909,0.04594720021556235
Phospholipids in Very Large VLDL,0.0391569344028517,0.02711851256506166
Phospholipids in Very Small VLDL,0.10639257376199468,0.02689822086551148
Phospholipids in VLDL,0.4821519902213733,0.18695084997498954
Polyunsaturated Fatty Acids,5.131463936433718,0.8186367685825121
Pyruvate,0.08299530782724128,0.03426039097400543
"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)",1.5988650000680764,0.4156564836136685
Saturated Fatty Acids,4.190725719587093,0.9869849369045487
Sphingomyelins,0.46137682397808166,0.07255924374333056
Total Cholesterol,4.752541889576059,0.932042422383322
Total Cholesterol Minus HDL-C,3.4005976024348636,0.8408596209942726
Total Cholines,2.6273753663847863,0.4138698901880237
Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine),0.37091211983784517,0.08794685752094904
Total Concentration of Lipoprotein Particles,0.017261834475372145,0.0025758405019547584
Total Esterified Cholesterol,3.4542899851205515,0.6709084186189668
Total Fatty Acids,12.269638864904769,2.4863456813075797
Total Free Cholesterol,1.2982656304634181,0.2670597833410797
Total Lipids in Chylomicrons and Extremely Large VLDL,0.21993406927634662,0.2081313549807079
Total Lipids in HDL,3.0826136296548006,0.6575565597308988
Total Lipids in IDL,1.2639466761445681,0.2865527508334298
Total Lipids in Large HDL,0.6662683581524368,0.33432406177905005
Total Lipids in Large LDL,1.641391214547131,0.3798572027440901
Total Lipids in Large VLDL,0.3424325363561127,0.19054858692192958
Total Lipids in LDL,2.5769365248804523,0.6042811556513839
Total Lipids in Lipoprotein Particles,9.08021539589383,1.6665791142943711
Total Lipids in Medium HDL,1.0632679756240477,0.23059453965134835
Total Lipids in Medium LDL,0.6423933704522785,0.16783280857437077
Total Lipids in Medium VLDL,0.5975638532292861,0.21687253846344934
Total Lipids in Small HDL,1.1851587311655762,0.16188143651404246
Total Lipids in Small LDL,0.29315198009607857,0.06650809122186918
Total Lipids in Small VLDL,0.42457234220253404,0.13686882469454748
Total Lipids in Very Large HDL,0.16791813914671969,0.08192577676755415
Total Lipids in Very Large VLDL,0.2078731440957477,0.141764417176947
Total Lipids in Very Small VLDL,0.3643401484758482,0.08966746749096213
Total Lipids in VLDL,2.1567164130722256,0.9026798865900011
Total Phospholipids in Lipoprotein Particles,2.9927620245087785,0.47332448893463086
Total Triglycerides,1.3348973178723975,0.6116867374200629
Triglycerides in Chylomicrons and Extremely Large VLDL,0.1306969090423487,0.13411150677388045
Triglycerides in HDL,0.14611108477972298,0.04895478467829449
Triglycerides in IDL,0.10171499896185754,0.027178177697954446
Triglycerides in Large HDL,0.030686016808298036,0.012353570789689962
Triglycerides in Large LDL,0.09945182137311269,0.026561666508026757
Triglycerides in Large VLDL,0.173408242576412,0.1015064450987325
Triglycerides in LDL,0.14882820222480656,0.04269017002956667
Triglycerides in Medium HDL,0.054715612553813985,0.019583468897022234
Triglycerides in Medium LDL,0.03363345665291808,0.010777324068644772
Triglycerides in Medium VLDL,0.2865988217736041,0.1268088801895992
Triglycerides in Small HDL,0.053469290323817344,0.018473075239578973
Triglycerides in Small LDL,0.015742917661791676,0.005988527785875547
Triglycerides in Small VLDL,0.1632603739728255,0.06516477763688637
Triglycerides in Very Large HDL,0.007240174031516804,0.0027701604009271927
Triglycerides in Very Large VLDL,0.11382399861257513,0.08685232433779475
Triglycerides in Very Small VLDL,0.07045405351973452,0.022358082246019498
Triglycerides in VLDL,0.9382424257446298,0.5146681439935438
Tyrosine,0.06371260758446942,0.014471723853615991
Valine,0.2126869353514015,0.04379752493738667
VLDL Cholesterol,0.7363217813690056,0.2504882096464038
